

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.009  000.009: --- NVIM STARTING ---
000.166  000.158: event init
000.317  000.151: early init
000.396  000.079: locale set
000.456  000.060: init first window
000.930  000.475: inits 1
000.947  000.017: window checked
001.023  000.076: parsing arguments
001.389  000.048  000.048: require('vim.shared')
001.453  000.025  000.025: require('vim._meta')
001.454  000.063  000.038: require('vim._editor')
001.455  000.131  000.020: require('vim._init_packages')
001.456  000.302: init lua interpreter
001.487  000.032: expanding arguments
001.522  000.035: inits 2
001.731  000.209: init highlight
001.732  000.001: waiting for UI
002.634  000.901: done waiting for UI
002.649  000.015: init screen for UI
002.769  000.120: init default mappings
002.784  000.015: init default autocommands
003.152  000.038  000.038: sourcing /usr/share/nvim/runtime/ftplugin.vim
003.179  000.017  000.017: sourcing /usr/share/nvim/runtime/indent.vim
004.120  000.324  000.324: require('lvim.core.log')
004.127  000.471  000.146: require('lvim.utils.modules')
004.131  000.823  000.352: require('lvim.bootstrap')
015.389  009.871  009.871: require('lvim.impatient')
015.677  000.044  000.044: require('lvim.utils')
015.684  000.286  000.241: require('lvim.config')
015.807  000.040  000.040: require('lvim.utils.table')
015.811  000.089  000.049: require('lvim.lsp.utils')
016.016  000.203  000.203: require('lvim.icons')
016.019  000.333  000.041: require('lvim.config.defaults')
016.299  000.062  000.062: require('lvim.keymappings')
016.307  000.005  000.005: require('vim.keymap')
016.602  000.042  000.042: require('lvim.core.builtins')
016.633  000.029  000.029: require('lvim.core.theme')
016.704  000.068  000.068: require('lvim.core.which-key')
017.081  000.027  000.027: require('plenary.tbl')
017.084  000.059  000.033: require('plenary.vararg.rotate')
017.085  000.088  000.029: require('plenary.vararg')
017.118  000.032  000.032: require('plenary.errors')
017.165  000.046  000.046: require('plenary.functional')
017.168  000.229  000.063: require('plenary.async.async')
017.193  000.025  000.025: require('plenary.async.structs')
017.198  000.329  000.075: require('plenary.async.control')
017.414  000.029  000.029: require('plenary.bit')
017.430  000.010  000.010: require('ffi')
017.439  000.098  000.058: require('plenary.path')
017.444  000.125  000.028: require('plenary.strings')
017.466  000.021  000.021: require('telescope.deprecated')
017.627  000.108  000.108: require('plenary.log')
017.640  000.140  000.032: require('telescope.log')
017.742  000.044  000.044: require('plenary.job')
017.793  000.050  000.050: require('telescope.state')
017.801  000.159  000.065: require('telescope.utils')
017.808  000.341  000.042: require('telescope.sorters')
017.902  000.085  000.085: require('vim.inspect')
018.013  000.010  000.010: require('vim.F')
019.473  002.195  001.612: require('telescope.config')
019.564  000.035  000.035: require('plenary.window.border')
019.588  000.022  000.022: require('plenary.window')
019.610  000.021  000.021: require('plenary.popup.utils')
019.613  000.136  000.057: require('plenary.popup')
019.645  000.031  000.031: require('telescope.pickers.scroller')
019.673  000.028  000.028: require('telescope.actions.state')
019.703  000.029  000.029: require('telescope.actions.utils')
019.759  000.024  000.024: require('telescope.actions.mt')
019.770  000.066  000.042: require('telescope.actions.set')
019.830  000.028  000.028: require('telescope.config.resolve')
019.831  000.061  000.032: require('telescope.pickers.entry_display')
019.852  000.019  000.019: require('telescope.from_entry')
019.994  002.795  000.232: require('telescope.actions')
020.114  000.093  000.093: require('telescope.make_entry')
020.209  000.027  000.027: require('plenary.async.util')
020.211  000.047  000.020: require('plenary.async.tests')
020.212  000.072  000.025: require('plenary.async')
020.214  000.098  000.025: require('telescope.finders.async_static_finder')
020.300  000.027  000.027: require('plenary.class')
020.356  000.119  000.092: require('telescope._')
020.358  000.143  000.025: require('telescope.finders.async_oneshot_finder')
020.412  000.054  000.054: require('telescope.finders.async_job_finder')
020.416  000.420  000.032: require('telescope.finders')
020.561  000.024  000.024: require('telescope._extensions')
020.563  000.050  000.026: require('telescope')
020.593  000.028  000.028: require('telescope.debounce')
020.657  000.063  000.063: require('telescope.mappings')
020.688  000.030  000.030: require('telescope.pickers.highlights')
020.714  000.024  000.024: require('telescope.pickers.window')
020.769  000.027  000.027: require('telescope.algos.linked_list')
020.772  000.057  000.030: require('telescope.entry_manager')
020.796  000.024  000.024: require('telescope.pickers.multi')
020.806  000.389  000.114: require('telescope.pickers')
020.813  003.989  000.056: require('telescope.builtin.__lsp')
020.822  004.052  000.063: require('telescope.builtin')
020.856  000.032  000.032: require('telescope.themes')
020.915  000.033  000.033: require('telescope.previewers.previewer')
020.976  000.061  000.061: require('telescope.previewers.term_previewer')
021.097  000.020  000.020: require('plenary.context_manager')
021.365  000.033  000.033: require('nvim-treesitter.utils')
021.547  000.030  000.030: require('vim.treesitter.language')
021.553  000.064  000.035: require('vim.treesitter.query')
